Instance,Income
112159,287311.7438
112160,33532.23631
112161,156992.5222
112162,123626.7834
112163,35003.98108
112164,85196.95448
112165,136079.6508
112166,73027.28668
112167,49083.57367
112168,67285.08497
112169,224742.7879
112170,218087.6747
112171,88371.36351
112172,-11739.06061
112173,159709.4088
112174,-9290.308278
112175,62620.32487
112176,-6545.174652
112177,103088.8998
112178,-37624.74181
112179,9041.826241
112180,-26777.87209
112181,1959.130198
112182,221208.2165
112183,115610.7825
112184,-22205.66035
112185,331754.8725
112186,2889.895114
112187,152810.9093
112188,159906.1471
112189,33557.93182
112190,59131.75103
112191,97861.6721
112192,325318.1899
112193,13488.42173
112194,186883.4754
112195,72612.08763
112196,-29071.28435
112197,330933.5024
112198,48957.59333
112199,30042.81321
112200,35070.01483
112201,256520.0128
112202,135608.0298
112203,17171.61957
112204,38107.0405
112205,-27421.39167
112206,138679.5033
112207,369993.4347
112208,54214.77865
112209,466729.9588
112210,69674.89804
112211,225404.6753
112212,90625.59196
112213,-6226.383392
112214,299358.5611
112215,58133.28242
112216,118573.5506
112217,-8447.383943
112218,8245.520003
112219,357221.336
112220,75190.73546
112221,-25766.66186
112222,38357.28986
112223,63642.52146
112224,189539.5917
112225,44108.46212
112226,99855.20644
112227,51393.99471
112228,115205.9333
112229,84593.44659
112230,194358.2747
112231,-80140.32929
112232,255141.2965
112233,6871.380897
112234,78923.70199
112235,-48946.06176
112236,132396.4146
112237,433691.6017
112238,70469.60971
112239,29797.59743
112240,55626.88034
112241,2996.873583
112242,24421.27032
112243,111976.7283
112244,216549.7974
112245,128374.4154
112246,60748.0349
112247,389891.2888
112248,134003.8751
112249,-40683.94126
112250,13860.3276
112251,42898.18461
112252,64581.56184
112253,-41064.20627
112254,261259.0555
112255,57708.06722
112256,22229.25794
112257,59017.39434
112258,493607.4334
112259,226310.072
112260,176750.896
112261,354625.0579
112262,116927.3502
112263,-7591.501001
112264,57250.441
112265,34581.85985
112266,64438.16653
112267,89288.83039
112268,121994.39
112269,443298.0275
112270,-22254.19
112271,96727.38325
112272,149421.1243
112273,147922.7181
112274,-35452.60143
112275,264852.2005
112276,325670.5445
112277,68699.16507
112278,-6690.836219
112279,-7480.01195
112280,147369.4516
112281,46099.12369
112282,209007.5742
112283,96467.02054
112284,98926.85
112285,84631.4915
112286,83015.41024
112287,25026.42775
112288,78989.20437
112289,229870.0945
112290,182862.8204
112291,-33757.83943
112292,427818.1007
112293,24260.973
112294,288421.855
112295,81504.83121
112296,216178.2523
112297,101562.0823
112298,84413.94029
112299,-8074.289677
112300,44708.75227
112301,10736.44797
112302,46536.87672
112303,1908.827764
112304,189375.5606
112305,12594.96923
112306,111652.7174
112307,75416.19114
112308,111759.8824
112309,76988.24752
112310,-8542.979042
112311,126203.4704
112312,41972.80367
112313,98477.81978
112314,34344.5207
112315,206221.0953
112316,21029.80847
112317,17044.88166
112318,-7445.440489
112319,-51075.41185
112320,461780.9678
112321,15570.48534
112322,19339.56381
112323,120511.8854
112324,427885.383
112325,249562.6479
112326,134660.7981
112327,286478.9664
112328,105138.8313
112329,162917.6828
112330,372175.9593
112331,369235.6993
112332,272482.2166
112333,299292.2811
112334,324883.1608
112335,99864.96202
112336,79.84518033
112337,219778.114
112338,272267.1841
112339,278180.5921
112340,32369.97502
112341,705474.1389
112342,82562.08196
112343,147835.4651
112344,46685.54468
112345,64669.58628
112346,139953.7277
112347,-15655.81143
112348,-11651.41346
112349,12717.96459
112350,118823.7834
112351,45627.07311
112352,51238.0692
112353,-30228.45335
112354,141396.7219
112355,80258.49751
112356,67751.23324
112357,49309.00331
112358,83456.48864
112359,56514.04998
112360,15802.75844
112361,233282.516
112362,90972.85967
112363,54577.91695
112364,-37906.1192
112365,-46062.19565
112366,49996.30706
112367,46807.74725
112368,8885.547083
112369,164983.2543
112370,-60404.32309
112371,363431.6966
112372,133803.2081
112373,50273.69609
112374,15279.36261
112375,29495.14988
112376,114512.8562
112377,138104.7231
112378,74386.93307
112379,106026.1508
112380,45049.74967
112381,57238.75869
112382,128365.8227
112383,81002.11274
112384,241157.0307
112385,3158.221794
112386,189185.5686
112387,62582.3186
112388,31765.23062
112389,51254.8571
112390,54106.00825
112391,3456.31564
112392,108943.1542
112393,97557.76281
112394,30359.24829
112395,49773.16759
112396,173940.7682
112397,77286.13886
112398,397427.7912
112399,117497.6171
112400,70870.32726
112401,136119.8765
112402,646515.4714
112403,151632.5279
112404,98790.10227
112405,101815.4253
112406,-7691.99579
112407,29443.60991
112408,62576.98824
112409,101330.2737
112410,-8745.234435
112411,139442.97
112412,142435.0613
112413,8416.884414
112414,114909.9022
112415,160454.5476
112416,94400.93352
112417,115087.2828
112418,67775.18078
112419,227696.1547
112420,43295.41446
112421,284148.6793
112422,89517.71968
112423,21821.68013
112424,29413.10154
112425,-4165.81986
112426,139029.5549
112427,347000.3531
112428,286917.4939
112429,-2905.525558
112430,69304.53111
112431,148398.1862
112432,-11396.18373
112433,141655.6008
112434,52451.13755
112435,-13010.36538
112436,50183.68547
112437,80416.88796
112438,98905.20032
112439,24982.69139
112440,265718.6811
112441,68163.61133
112442,455010.4074
112443,70810.85215
112444,-2794.521906
112445,68611.14781
112446,519952.1574
112447,480836.3409
112448,75032.61949
112449,98462.40117
112450,44164.73959
112451,119240.9133
112452,29350.06507
112453,87157.62576
112454,128307.9884
112455,624414.1342
112456,24751.83452
112457,177074.5099
112458,107136.5251
112459,48431.32569
112460,54373.10369
112461,365313.4745
112462,141690.8352
112463,102667.619
112464,60912.61749
112465,155024.4416
112466,191028.2783
112467,43669.85775
112468,5200.413452
112469,40579.23159
112470,12840.36729
112471,52416.72572
112472,161540.8312
112473,173576.8216
112474,90085.83389
112475,88270.11796
112476,80195.3524
112477,29671.47552
112478,84421.51735
112479,39880.70073
112480,43401.11491
112481,175185.3863
112482,50550.40417
112483,267198.6221
112484,73585.03012
112485,110991.3311
112486,-24191.79881
112487,15933.79352
112488,187251.1532
112489,40496.34414
112490,399839.1775
112491,92283.43139
112492,97548.4405
112493,286178.4523
112494,20587.34624
112495,-52072.65972
112496,-23.01811204
112497,198857.4934
112498,51009.07877
112499,43204.1493
112500,30943.12398
112501,55335.8487
112502,56122.37416
112503,28171.16078
112504,42718.07119
112505,15309.47116
112506,119816.3026
112507,118558.2694
112508,111699.5546
112509,16224.02776
112510,71184.12896
112511,159564.2795
112512,7603.521026
112513,96414.79128
112514,60336.38027
112515,156651.1974
112516,104858.2241
112517,12637.87038
112518,78814.46958
112519,-22652.36518
112520,47270.6187
112521,169879.288
112522,53189.28887
112523,90681.61012
112524,84071.06679
112525,-21130.44064
112526,21605.84301
112527,56115.31829
112528,13104.87347
112529,19581.17809
112530,88557.9295
112531,168602.6129
112532,155720.606
112533,110988.1085
112534,329884.6883
112535,47077.03898
112536,118342.6264
112537,75175.3732
112538,-50492.29461
112539,210073.167
112540,-11841.49775
112541,83077.42835
112542,190370.2806
112543,94736.06762
112544,216820.3644
112545,44866.89677
112546,-21306.4611
112547,133235.2264
112548,364972.6949
112549,95688.64436
112550,110440.7259
112551,12979.66429
112552,142520.398
112553,77804.92839
112554,88840.93711
112555,6754.1811
112556,100945.6313
112557,72074.1256
112558,93833.96351
112559,14291.77912
112560,66442.49511
112561,196211.7054
112562,-28730.09389
112563,149704.9648
112564,382288.4468
112565,156741.9446
112566,14017.8307
112567,43599.83248
112568,105243.0961
112569,272058.9195
112570,40946.41434
112571,133943.1065
112572,176634.8747
112573,-5985.595996
112574,142849.0137
112575,63677.16447
112576,72560.09579
112577,344347.0622
112578,458285.6138
112579,85693.70622
112580,193925.6509
112581,79875.66731
112582,56377.15496
112583,-11914.14945
112584,252720.7852
112585,-7884.796454
112586,-33930.01559
112587,166001.9084
112588,126780.4612
112589,242289.1767
112590,24403.2668
112591,177721.9707
112592,32758.68681
112593,-11721.19632
112594,32401.97248
112595,21530.69878
112596,58822.84734
112597,48990.83584
112598,6470.119221
112599,-33738.92648
112600,9456.215287
112601,183174.0039
112602,84040.64315
112603,61612.31818
112604,168656.6334
112605,43337.42604
112606,44422.29297
112607,89362.98656
112608,114698.5458
112609,167164.0961
112610,110630.9892
112611,187112.4987
112612,208272.452
112613,113296.8345
112614,184315.2866
112615,69542.56552
112616,140000.6397
112617,129756.6323
112618,300638.5686
112619,-5938.91032
112620,-18553.94968
112621,7629.404592
112622,113512.1921
112623,44951.47586
112624,46393.74566
112625,20794.84181
112626,146057.2504
112627,52076.06293
112628,12867.86915
112629,69538.0684
112630,55351.83945
112631,118932.9439
112632,211599.0998
112633,188011.9656
112634,19989.43985
112635,17217.87356
112636,93976.46626
112637,172981.6439
112638,-25519.57427
112639,90494.44603
112640,7980.312028
112641,5983.059481
112642,255852.3647
112643,117024.8605
112644,127185.3154
112645,53570.66243
112646,2540.542298
112647,-28280.82617
112648,29695.49984
112649,-19297.58767
112650,-12628.69362
112651,32474.33074
112652,-20404.72883
112653,-11045.04155
112654,1163.189854
112655,-24021.78459
112656,8460.323858
112657,333412.4623
112658,732712.7405
112659,140623.4557
112660,109180.0692
112661,183837.3739
112662,154664.7381
112663,131728.5682
112664,206277.5295
112665,396428.4907
112666,115016.7735
112667,4702.611829
112668,19687.60642
112669,153154.1811
112670,-8106.754202
112671,200471
112672,143374.2678
112673,96840.73139
112674,20884.05239
112675,64310.33068
112676,28364.08353
112677,69270.93628
112678,19023.95964
112679,116718.4347
112680,178954.8877
112681,31722.25967
112682,132457.0597
112683,36910.96127
112684,255847.28
112685,6287.966458
112686,17180.24901
112687,77716.60866
112688,40064.70991
112689,125723.7415
112690,84491.27053
112691,50321.81193
112692,72189.15208
112693,118520.1387
112694,8943.108649
112695,164509.1634
112696,177125.9552
112697,137731.0902
112698,147299.1181
112699,403809.4957
112700,246228.0932
112701,356448.9225
112702,134052.6218
112703,49138.83681
112704,81733.23895
112705,296137.972
112706,71192.37096
112707,22073.87848
112708,112677.1157
112709,175266.1906
112710,93180.73669
112711,80369.77126
112712,-27912.33106
112713,105256.4708
112714,121935.1363
112715,121390.0719
112716,-34034.56015
112717,-21989.41485
112718,65534.011
112719,80971.41288
112720,46203.83641
112721,53207.04861
112722,6903.454879
112723,26771.84578
112724,-33743.02121
112725,76506.60868
112726,-5262.644858
112727,85639.8119
112728,176946.7151
112729,52091.0294
112730,28031.78525
112731,27949.94492
112732,-47683.62658
112733,72018.62761
112734,169773.6103
112735,-18744.27802
112736,99270.96885
112737,90350.99877
112738,403823.695
112739,81885.96599
112740,163165.018
112741,35026.40369
112742,41335.53205
112743,43416.28995
112744,115447.5635
112745,189692.1763
112746,4571.211086
112747,107151.9441
112748,411883.4389
112749,63867.14427
112750,-29932.27398
112751,298368.8925
112752,106205.0627
112753,83280.13143
112754,186515.794
112755,-6100.900219
112756,64295.3998
112757,81602.39246
112758,18427.32077
112759,-33409.43125
112760,75991.08941
112761,133722.9989
112762,351224.9721
112763,-18863.6613
112764,193033.7427
112765,-104305.4015
112766,134072.8518
112767,754218.3683
112768,12924.17324
112769,110044.7195
112770,18917.43705
112771,109553.2593
112772,35923.63718
112773,106309.5939
112774,2969.205999
112775,63592.76838
112776,-9405.537764
112777,-24644.36542
112778,475475.4393
112779,206776.7274
112780,155393.1465
112781,115091.5561
112782,12405.93182
112783,73045.09372
112784,128283.8925
112785,-2391.780429
112786,96111.2652
112787,84018.9523
112788,11194.84013
112789,70933.46697
112790,129286.7293
112791,210360.5066
112792,-19595.26116
112793,19199.81923
112794,501141.8898
112795,23675.6189
112796,51136.18935
112797,79043.19149
112798,79954.65045
112799,139051.2879
112800,24022.35587
112801,10876.49938
112802,241121.8527
112803,319206.2387
112804,108365.3528
112805,53067.60224
112806,-12650.55345
112807,-9911.139169
112808,279571.9209
112809,24656.8746
112810,182075.4322
112811,137954.112
112812,79191.56846
112813,203551.9734
112814,33517.99169
112815,39555.37309
112816,-13140.3131
112817,88784.75091
112818,67995.75825
112819,64163.03549
112820,298375.0135
112821,50356.99953
112822,-16883.52872
112823,4014.569757
112824,12864.82352
112825,104334.9604
112826,148899.6468
112827,78687.33147
112828,68012.83069
112829,-35673.33567
112830,65293.30692
112831,103063.6807
112832,30743.01539
112833,144087.8034
112834,62074.66272
112835,217948.3649
112836,74789.59188
112837,133744.7086
112838,337342.6957
112839,76681.89813
112840,76871.18532
112841,112907.342
112842,225281.4026
112843,72194.4653
112844,56938.27295
112845,80304.24349
112846,293855.1526
112847,81478.34947
112848,217419.9591
112849,156678.0884
112850,171023.552
112851,315262.4673
112852,41790.74944
112853,288379.9282
112854,96221.62177
112855,595225.6393
112856,32689.77657
112857,4999.818413
112858,-17926.1842
112859,161078.8509
112860,48744.18099
112861,175795.2682
112862,29396.50462
112863,49378.03513
112864,239597.4705
112865,-4939.526792
112866,322044.0524
112867,8243.196053
112868,41115.37739
112869,83027.26745
112870,73678.57092
112871,178822.0593
112872,-2094.685147
112873,195741.2628
112874,97152.25161
112875,74177.01254
112876,289708.8034
112877,49584.48114
112878,599844.0938
112879,347443.9235
112880,46509.92616
112881,66902.54497
112882,371675.505
112883,66798.21534
112884,-46146.50683
112885,51620.06963
112886,65775.78697
112887,-1689.350572
112888,123970.4953
112889,112607.4104
112890,170437.6315
112891,136308.5683
112892,98164.33934
112893,42114.31279
112894,231795.7615
112895,-16666.86223
112896,-99584.29667
112897,120352.0507
112898,188766.6486
112899,-5830.797621
112900,49342.89416
112901,75450.20168
112902,24202.00194
112903,197836.3139
112904,213397.9583
112905,72275.04791
112906,59232.84309
112907,-47240.5728
112908,-71962.87998
112909,428828.449
112910,124030.7452
112911,41878.91707
112912,-26198.16902
112913,81763.78946
112914,27512.88739
112915,258685.5607
112916,254852.142
112917,78998.49997
112918,145881.9259
112919,67486.87431
112920,3268.113234
112921,-17099.42327
112922,157296.2174
112923,148702.9508
112924,79123.20493
112925,182998.2092
112926,32385.28828
112927,10156.81768
112928,-24078.67049
112929,87711.61016
112930,380035.1655
112931,61398.47046
112932,239947.1611
112933,24581.4293
112934,146517.1824
112935,84453.26465
112936,157599.2427
112937,304799.4709
112938,15248.1427
112939,-95540.34575
112940,76267.6325
112941,332917.2224
112942,-67571.50779
112943,367900.9122
112944,6939.152496
112945,159562.3136
112946,77066.68043
112947,45272.34967
112948,58071.13113
112949,-2001.72956
112950,156010.2686
112951,41040.06803
112952,5788.159486
112953,34777.22772
112954,60625.98921
112955,-52943.46176
112956,-4318.633147
112957,38759.86551
112958,373011.5793
112959,110284.369
112960,85172.69503
112961,253514.4481
112962,95910.07639
112963,136756.3476
112964,-3290.60856
112965,-3619.923702
112966,463596.243
112967,-2278.600507
112968,-59140.33424
112969,141368.7477
112970,-60758.16798
112971,46044.04804
112972,170866.4979
112973,2248.356021
112974,91212.91391
112975,12470.0174
112976,-24556.22794
112977,17071.25174
112978,116541.4968
112979,257930.394
112980,510689.9781
112981,115527.3118
112982,46950.29501
112983,134448.1166
112984,-21661.47139
112985,-6722.108742
112986,19895.12063
112987,5264.539701
112988,67967.2245
112989,65372.33008
112990,69881.83446
112991,34029.54585
112992,-4855.311233
112993,123039.805
112994,1628.508655
112995,184507.3968
112996,-27535.05129
112997,303778.6161
112998,42564.10922
112999,90110.3383
113000,-59792.69544
113001,35312.02415
113002,62741.6989
113003,71756.74558
113004,170384.1581
113005,50007.62941
113006,62029.12361
113007,-28678.66069
113008,85569.16432
113009,28531.09765
113010,64208.29711
113011,71823.7432
113012,44576.8689
113013,38363.52088
113014,81952.67977
113015,143001.5759
113016,268478.2661
113017,97196.31201
113018,83995.45315
113019,191180.9563
113020,38861.92783
113021,65724.50498
113022,79713.96717
113023,99061.37506
113024,154753.8252
113025,32921.75285
113026,23412.92385
113027,-1128.484613
113028,14542.27765
113029,164878.2014
113030,136112.8805
113031,46600.71518
113032,13918.14953
113033,141290.0179
113034,13271.06223
113035,57101.84367
113036,155993.9121
113037,94949.73151
113038,92868.03634
113039,93932.88473
113040,55239.32212
113041,2412.560114
113042,229456.5336
113043,-1810.394999
113044,351647.4554
113045,755885.7297
113046,67236.30758
113047,41085.29468
113048,-1939.584702
113049,129543.801
113050,148140.4553
113051,156949.8631
113052,-18082.42164
113053,87205.31385
113054,115461.2428
113055,24627.04769
113056,95339.13639
113057,-20611.08354
113058,-13245.73323
113059,77914.5533
113060,88321.77998
113061,5491.599691
113062,75116.5396
113063,223593.3408
113064,123324.9795
113065,34960.2067
113066,9942.86291
113067,66785.29296
113068,79203.95337
113069,-4257.122297
113070,113153.1572
113071,197512.1111
113072,-2669.792474
113073,277316.6805
113074,152253.7145
113075,29546.21281
113076,116135.6584
113077,48917.92054
113078,11357.94327
113079,123204.8592
113080,56616.40162
113081,59260.22609
113082,20127.54312
113083,59270.27701
113084,77602.04273
113085,56338.37334
113086,233899.4741
113087,459768.1506
113088,39398.59313
113089,382374.0959
113090,62787.10738
113091,72926.52388
113092,74117.70092
113093,92902.28978
113094,154136.4357
113095,154361.1199
113096,140446.6362
113097,41444.68026
113098,198964.0804
113099,-21709.4759
113100,21169.9444
113101,287436.2709
113102,228412.433
113103,33112.49605
113104,93588.35962
113105,42557.75241
113106,158301.7795
113107,119804.1912
113108,184961.697
113109,8464.09941
113110,55131.85702
113111,144198.2068
113112,62948.06132
113113,120207.7445
113114,51366.71234
113115,60363.74894
113116,72662.37825
113117,203148.7262
113118,-40487.20957
113119,188515.1869
113120,130102.505
113121,104627.5093
113122,140734.4297
113123,576328.4504
113124,11651.16308
113125,174970.1082
113126,116058.1507
113127,70877.50845
113128,75608.69101
113129,213879.568
113130,149013.8991
113131,102548.9421
113132,110442.339
113133,82000.4963
113134,393601.1332
113135,76472.2656
113136,116478.5634
113137,16982.32677
113138,68784.54732
113139,123409.1538
113140,157237.7007
113141,77383.33933
113142,22830.04819
113143,3171.461952
113144,221419.7296
113145,101788.665
113146,59066.5656
113147,-27253.53712
113148,203183.8287
113149,63899.36206
113150,-8037.820492
113151,63985.18336
113152,37170.91989
113153,221630.1852
113154,118185.312
113155,29127.26074
113156,561548.853
113157,182276.8563
113158,48322.06012
113159,205981.9788
113160,66812.71198
113161,172242.2617
113162,56553.67345
113163,19225.55834
113164,69643.84943
113165,228620.1415
113166,23938.14587
113167,169174.4585
113168,77990.2399
113169,35875.59403
113170,260166.1604
113171,122031.6118
113172,64988.49349
113173,52742.72634
113174,188542.6823
113175,25036.20655
113176,113133.5332
113177,99704.52907
113178,74358.79895
113179,34918.26819
113180,45732.75329
113181,42262.58259
113182,-7818.570233
113183,-33669.55253
113184,69597.54543
113185,105003.2821
113186,161465.4843
113187,286803.6434
113188,6229.516656
113189,162149.0589
113190,93563.98515
113191,44201.78384
113192,40936.63764
113193,124268.4887
113194,32164.43166
113195,225974.48
113196,30020.73028
113197,743510.3751
113198,145944.4916
113199,75496.11173
113200,15309.35545
113201,86066.60852
113202,78237.28607
113203,-25357.40835
113204,196647.704
113205,446692.5291
113206,106085.2643
113207,-38167.36682
113208,207992.5033
113209,144028.349
113210,110556.9312
113211,62551.75226
113212,76715.08994
113213,110207.6438
113214,12233.64112
113215,84537.28612
113216,129607.1369
113217,36425.17625
113218,7725.541014
113219,13771.2485
113220,161947.989
113221,140.3692275
113222,52756.3915
113223,154245.5398
113224,1596.744844
113225,96407.68055
113226,59863.54676
113227,130465.7303
113228,86501.51203
113229,-21071.60024
113230,91995.38055
113231,56986.11981
113232,245311.4274
113233,3795.425935
113234,33876.99226
113235,277536.8568
113236,60753.21669
113237,209560.0187
113238,52601.41507
113239,8921.865182
113240,70979.1601
113241,146430.5852
113242,117502.7939
113243,115444.8422
113244,77197.30545
113245,119103.1488
113246,76206.81042
113247,96412.5471
113248,72010.80599
113249,97285.79362
113250,271926.6361
113251,12194.79479
113252,47258.0499
113253,16786.7742
113254,100671.9677
113255,235875.8828
113256,36426.102
113257,163236.4905
113258,8299.725077
113259,-33445.39229
113260,74469.72192
113261,6352.827547
113262,82919.4379
113263,429460.5856
113264,-24182.62183
113265,67378.87142
113266,150150.802
113267,72096.33731
113268,224530.7414
113269,-10009.99654
113270,-26431.76463
113271,199157.3088
113272,-40110.76324
113273,42003.89931
113274,154441.0554
113275,77876.3147
113276,960.7119411
113277,24088.36366
113278,357405.6308
113279,89609.96308
113280,88848.22044
113281,178853.1321
113282,108066.1014
113283,101113.172
113284,322553.2179
113285,-30237.09808
113286,191799.5995
113287,164368.4523
113288,56114.74224
113289,62952.65144
113290,73285.03611
113291,63023.08765
113292,277502.4351
113293,-17981.25326
113294,54371.93131
113295,273796.2276
113296,99664.53921
113297,40254.37882
113298,52454.49174
113299,58200.11655
113300,45245.8288
113301,9219.292247
113302,146044.8551
113303,68268.9468
113304,144392.6774
113305,115459.8874
113306,28338.2869
113307,147982.6038
113308,-5332.881065
113309,80386.72564
113310,-31731.37202
113311,49171.28131
113312,28600.70691
113313,151847.0033
113314,35750.58166
113315,119659.3019
113316,99575.56645
113317,95135.48146
113318,45197.62132
113319,43956.99034
113320,87394.9967
113321,-4644.630863
113322,20157.09061
113323,17512.77682
113324,-33818.2616
113325,51570.25246
113326,9973.671329
113327,45474.63387
113328,102302.9359
113329,264674.7813
113330,176236.9691
113331,63258.29443
113332,59539.19907
113333,204454.5691
113334,54312.82541
113335,17541.12637
113336,158920.9481
113337,-30904.78535
113338,122146.2081
113339,-25211.27177
113340,39749.54529
113341,117840.8683
113342,117510.5147
113343,47516.14576
113344,53213.30246
113345,14610.86139
113346,90078.23359
113347,72817.872
113348,136490.3313
113349,17301.9234
113350,-3903.41867
113351,158229.769
113352,32392.46132
113353,110039.3318
113354,-52036.18411
113355,222675.2999
113356,74526.61677
113357,-28556.91037
113358,124963.2046
113359,-10330.19078
113360,211116.7087
113361,190786.5989
113362,218174.363
113363,78760.73062
113364,34056.46702
113365,69712.12531
113366,8369.399018
113367,90435.73326
113368,5588.184809
113369,115982.6896
113370,33965.32765
113371,168720.1795
113372,32573.18102
113373,102997.3467
113374,294042.9529
113375,131807.8691
113376,125249.7117
113377,49225.89376
113378,156970.3122
113379,157991.6643
113380,32526.87042
113381,165178.2323
113382,256854.8894
113383,6776.622646
113384,182646.2441
113385,245481.5111
113386,42620.63841
113387,203622.7935
113388,56268.75999
113389,-49731.99235
113390,131277.7018
113391,7210.342924
113392,82240.40662
113393,103637.1461
113394,-25865.54315
113395,20162.12816
113396,-21946.5599
113397,110674.4744
113398,78747.82921
113399,60408.4496
113400,324039.142
113401,-1247.13716
113402,452512.8621
113403,197489.921
113404,-10349.8285
113405,68696.35128
113406,60873.22685
113407,181625.6089
113408,139990.3375
113409,83146.87066
113410,25423.93949
113411,25312.00046
113412,107392.0035
113413,492120.2431
113414,51654.5275
113415,-18197.45184
113416,96176.68524
113417,752652.8936
113418,260946.2828
113419,129403.7618
113420,1994.787262
113421,51093.11061
113422,120982.2479
113423,115894.6286
113424,23008.40307
113425,-697.3909844
113426,192888.4476
113427,145672.1666
113428,209452.0163
113429,162068.5827
113430,222406.5708
113431,120250.3645
113432,89217.68744
113433,114124.0677
113434,30735.49323
113435,-11518.10669
113436,82658.07941
113437,34772.33792
113438,79877.25922
113439,137331.5627
113440,189002.2081
113441,23672.53045
113442,173715.7386
113443,181421.9305
113444,192032.7062
113445,100481.855
113446,-33595.79224
113447,67805.78376
113448,40766.31096
113449,151896.2558
113450,156579.155
113451,79139.09471
113452,175898.3655
113453,154559.3601
113454,230873.3623
113455,105187.0198
113456,65420.20852
113457,36796.66164
113458,93566.2264
113459,27038.18987
113460,55724.38273
113461,-17931.03015
113462,41489.72629
113463,-42896.45965
113464,76988.12607
113465,-116753.7732
113466,111600.4282
113467,-31800.9639
113468,149376.9702
113469,14465.74496
113470,60781.90852
113471,48669.91993
113472,655889.7729
113473,218742.3774
113474,55400.57989
113475,33543.24335
113476,19883.71798
113477,134487.2985
113478,339677.3728
113479,200371.952
113480,158763.3715
113481,268791.0595
113482,56529.47437
113483,2279.731663
113484,118380.9828
113485,98856.36727
113486,-17748.59189
113487,104606.7497
113488,27249.51448
113489,22818.32082
113490,79332.90077
113491,224443.4697
113492,32375.50529
113493,130415.9646
113494,90625.14209
113495,150322.7361
113496,9907.730886
113497,153198.3399
113498,41231.12068
113499,-31713.68505
113500,56631.4912
113501,42162.84226
113502,399112.0034
113503,46174.63342
113504,261513.5945
113505,10084.08607
113506,23642.55601
113507,206820.1354
113508,228248.8969
113509,69169.23532
113510,190585.3048
113511,206711.3723
113512,8717.956256
113513,60335.08572
113514,154057.7667
113515,26434.98635
113516,389503.6904
113517,36042.98482
113518,65225.76622
113519,141860.3866
113520,357568.2099
113521,244551.6616
113522,-7981.64507
113523,42373.14564
113524,134098.8102
113525,66731.0275
113526,43283.08482
113527,252229.6526
113528,26914.49317
113529,54400.07758
113530,92896.2891
113531,136898.1545
113532,10986.62343
113533,202425.8427
113534,322829.9623
